temperature,humidity,speed,power
0.72,0.64,0.23,682.28
0.69,0.69,0.15,824.77
0.69,0.75,0.23,452.7
0.69,0.75,0.15,435.05
0.69,0.75,0.15,443.1
0.69,0.75,0.15,523.29
0.69,0.75,0.15,883.56
0.72,0.75,0.23,870.14
0.74,0.64,0.23,895.29
0.79,0.61,0.23,950.46
0.82,0.52,0.15,967.48
0.87,0.48,0.15,1003.53
0.87,0.48,0.15,984.36
0.87,0.45,0.15,982.36
0.87,0.45,0.23,942.43
0.85,0.52,0.23,583.03
0.85,0.56,0.31,714.03
0.82,0.61,0.31,1032.28
0.79,0.61,0.31,1070.61
0.77,0.66,0.31,993.04
0.74,0.7,0.38,970.38
0.74,0.7,0.31,976.37
0.74,0.7,0.38,948.42
0.72,0.8,0.31,878.54
0.72,0.8,0.38,712.88
0.72,0.8,0.31,469.22
0.72,0.75,0.31,415.71
0.72,0.75,0.23,398.11
0.72,0.8,0.23,655.31
0.72,0.8,0.23,907.88
0.72,0.8,0.15,855.41
0.74,0.8,0.23,901.65
0.79,0.7,0.31,962.6
0.85,0.56,0.23,1004.55
0.9,0.53,0.38,1032.09
0.92,0.48,0.23,1051.01
0.95,0.38,0.31,1053.11
1,0.32,0.23,1046.5
0.97,0.36,0.31,1009.38
0.97,0.36,0.23,1017.71
0.95,0.45,0.31,994.91
0.85,0.48,0.54,1027.28
0.85,0.56,0.08,1013.64
0.85,0.56,0.15,976.37
0.82,0.66,0.38,940.43
0.79,0.7,0.31,1002.6
0.79,0.7,0.31,950.05
0.77,0.82,0.23,782.74
0.77,0.76,0.15,431.68
0.77,0.76,0.15,453.24
0.77,0.76,0.15,421.3
0.77,0.76,0.15,436.59
0.77,0.76,0.08,414.56
0.74,0.8,0.15,773.49
0.74,0.8,0.15,891.61
0.77,0.76,0.15,896.24
0.79,0.7,0.15,945.42
0.82,0.66,0.15,969.31
0.85,0.61,0.15,1002.33
0.9,0.48,0.15,1032.28
0.92,0.48,0.15,1020.51
0.9,0.56,0.31,1026.29
0.9,0.53,0.31,996.34
0.85,0.61,0.54,996.34
0.82,0.7,0.23,994.34
0.74,0.87,0.15,1028.37
0.74,0.87,0.31,1016.31
0.72,0.8,0.31,1059.26
0.72,0.87,0.08,982.36
0.74,0.8,0.15,1030.48
0.72,0.87,0.15,992.35
0.72,0.93,0.23,716.81
0.77,0.76,0.23,745.14
0.74,0.87,0.15,473.21
0.74,0.87,0.15,483.19
0.74,0.87,0.15,441.33
0.74,0.87,0.08,471.21
0.74,0.87,0.15,676.87
0.74,0.87,0.23,926.46
0.77,0.82,0.23,972.38
0.79,0.76,0.23,962.4
0.82,0.7,0.23,1020.38
0.85,0.61,0.31,998.34
0.9,0.53,0.38,1028.29
0.9,0.48,0.38,1028.5
0.9,0.45,0.38,1020.3
0.9,0.45,0.38,992.35
0.9,0.45,0.31,970.38
0.87,0.52,0.31,988.35
0.87,0.52,0.31,1076.21
0.85,0.56,0.31,1080.28
0.82,0.61,0.38,1044.26
0.82,0.61,0.31,1010.32
0.79,0.66,0.31,1054.45
0.79,0.7,0.38,998.34
0.79,0.7,0.38,770.72
0.77,0.76,0.38,569.05
0.77,0.76,0.31,868.55
0.77,0.76,0.31,805.44
0.77,0.76,0.31,782.7
0.77,0.76,0.23,784.69
0.74,0.8,0.08,806.66
0.74,0.8,0.08,840.77
0.77,0.82,0.23,900.02
0.82,0.7,0.31,954.41
0.87,0.61,0.23,992.35
0.9,0.56,0.23,1010.39
0.9,0.56,0.15,1012.31
0.92,0.57,0.15,1016.31
0.95,0.49,0.23,1024.51
0.95,0.49,0.23,1026.29
0.87,0.56,0.31,966.39
0.85,0.52,0.69,804.66
0.67,0.93,0.69,860.57
0.69,0.93,0.15,918.47
0.69,0.87,0.15,900.57
0.69,0.87,0.15,571.05
0.69,0.87,0,583.03
0.72,0.87,0.38,916.66
0.72,0.87,0.46,888.52
0.69,0.87,0.38,726.79
0.69,0.87,0.31,465.22
0.69,0.87,0.15,417.3
0.69,0.87,0.08,369.38
0.69,0.87,0.23,411.38
0.69,0.87,0.15,539.1
0.69,0.87,0.15,878.54
0.72,0.8,0,966.59
0.77,0.76,0.15,1012.61
0.79,0.7,0.15,1052.25
0.87,0.56,0.08,1072.28
0.87,0.56,0.15,1108.15
0.9,0.53,0.15,1082.2
0.92,0.45,0.08,749.97
0.9,0.45,0.23,760.87
0.9,0.53,0.31,746.76
0.87,0.48,0.31,1056.24
0.85,0.61,0.38,1022.3
0.82,0.61,0.31,1006.4
0.82,0.56,0.31,1004.33
0.79,0.61,0.38,936.44
0.79,0.61,0.23,894.51
0.77,0.7,0.15,866.56
0.77,0.7,0.08,818.8
0.77,0.7,0.08,525.12
0.74,0.8,0.23,435.27
0.72,0.87,0.31,443.32
0.72,0.87,0.23,435.27
0.72,0.87,0.23,461.23
0.72,0.8,0.23,800.67
0.72,0.8,0.23,880.53
0.72,0.8,0.31,892.7
0.74,0.75,0.38,872.55
0.79,0.61,0.46,872.55
0.82,0.52,0.46,918.54
0.82,0.52,0.38,930.45
0.87,0.45,0.38,920.47
0.85,0.48,0.38,950.42
0.87,0.41,0.31,932.45
0.87,0.45,0.38,986.96
0.85,0.44,0.46,1046.47
0.82,0.48,0.38,1034.35
0.79,0.56,0.46,1056.24
0.77,0.6,0.46,1032.28
0.74,0.64,0.46,1059.64
0.74,0.64,0.38,1002.33
0.72,0.7,0.31,942.43
0.72,0.7,0.31,822.79
0.72,0.7,0.38,700.83
0.72,0.7,0.31,421.35
0.69,0.75,0.23,443.26
0.67,0.8,0.23,437.27
0.67,0.8,0.15,445.26
0.69,0.75,0.23,782.7
0.67,0.8,0.23,904.49
0.72,0.75,0.23,894.51
0.74,0.64,0.15,938.63
0.79,0.52,0.23,956.41
0.82,0.44,0.23,976.45
0.87,0.23,0.31,952.41
0.87,0.16,0.38,942.43
0.87,0.21,0.31,942.43
0.87,0.25,0.38,950.42
0.87,0.16,0.38,898.5
0.87,0.14,0.38,932.45
0.85,0.21,0.46,952.41
0.79,0.25,0.38,986.55
0.77,0.37,0.38,974.46
0.74,0.47,0.31,974.38
0.74,0.47,0.23,928.45
0.74,0.47,0.23,852.87
0.74,0.44,0.08,804.66
0.72,0.47,0.15,455.24
0.72,0.47,0.15,443.32
0.69,0.55,0.15,365.39
0.67,0.64,0.15,365.85
0.67,0.64,0.15,389.35
0.67,0.64,0.15,379.37
0.69,0.6,0.23,547.09
0.72,0.55,0.31,932.45
0.74,0.47,0.38,942.43
0.77,0.4,0.38,924.46
0.79,0.4,0.23,946.69
0.82,0.33,0.38,958.4
0.82,0.31,0.38,942.43
0.85,0.31,0.46,614.98
0.82,0.37,0.46,559.07
0.82,0.33,0.46,708.82
0.79,0.37,0.46,968.39
0.79,0.33,0.54,976.37
0.77,0.47,0.46,940.43
0.74,0.55,0.46,954.67
0.74,0.6,0.46,876.54
0.74,0.47,0.54,746.76
0.74,0.44,0.46,539.1
0.72,0.55,0.46,668.89
0.72,0.6,0.31,752.75
0.72,0.6,0.23,431.28
0.72,0.6,0.31,461.23
0.72,0.6,0.38,439.34
0.72,0.6,0.31,522.96
0.69,0.64,0.31,858.57
0.72,0.6,0.38,808.65
0.72,0.6,0.38,838.6
0.74,0.55,0.38,908.49
0.79,0.44,0.46,907.27
0.79,0.44,0.38,928.64
0.79,0.44,0.38,940.51
0.82,0.4,0.38,920.47
0.82,0.37,0.38,918.47
0.82,0.37,0.46,904.49
0.82,0.37,0.31,898.5
0.82,0.37,0.31,882.53
0.82,0.37,0.31,934.44
0.79,0.44,0.38,929.05
0.77,0.55,0.38,887.62
0.74,0.64,0.38,664.96
0.74,0.64,0.46,559.07
0.72,0.64,0.38,882.53
0.72,0.64,0.38,746.76
0.72,0.6,0.38,447.25
0.72,0.55,0.31,413.31
0.72,0.55,0.15,427.29
0.72,0.55,0.15,411.31
0.72,0.64,0.23,405.44
0.72,0.7,0.15,521.13
0.72,0.7,0.15,868.55
0.72,0.75,0.31,858.57
0.77,0.66,0.38,874.54
0.79,0.61,0.38,860.57
0.79,0.61,0.38,581.03
0.79,0.61,0.31,880.26
0.82,0.56,0.38,896.51
0.82,0.56,0.31,836.78
0.85,0.48,0.31,513.14
0.85,0.48,0.38,862.56
0.85,0.44,0.46,1024.96
0.82,0.52,0.46,1064.23
0.79,0.61,0.38,1004.4
0.77,0.66,0.38,982.56
0.74,0.7,0.31,956.41
0.74,0.7,0.38,936.44
0.74,0.7,0.31,922.46
0.72,0.75,0.31,788.69
0.72,0.75,0.23,674.88
0.72,0.75,0.23,453.24
0.72,0.75,0.23,423.29
0.72,0.75,0.15,437.33
0.69,0.75,0.15,433.35
0.69,0.8,0.23,628.95
0.69,0.8,0.23,922.46
0.74,0.75,0.31,916.47
0.77,0.7,0.31,902.5
0.82,0.61,0.31,912.48
0.82,0.56,0.38,926.46
0.85,0.52,0.38,948.42
0.85,0.52,0.38,926.52
0.85,0.52,0.38,950.61
0.87,0.48,0.46,948.42
0.85,0.52,0.54,936.44
0.82,0.56,0.46,942.43
0.82,0.56,0.46,1030.28
0.79,0.61,0.38,1017.3
0.77,0.66,0.31,1012.31
0.77,0.66,0.46,992.35
0.74,0.7,0.38,948.42
0.74,0.7,0.31,859.43
0.74,0.7,0.38,487.19
0.74,0.75,0.38,571.05
0.74,0.7,0.31,860.57
0.72,0.75,0.23,828.67
0.72,0.8,0.31,782.7
0.74,0.75,0.23,766.88
0.74,0.75,0.23,800.67
0.74,0.75,0.31,820.63
0.74,0.75,0.31,862.56
0.77,0.7,0.38,810.65
0.74,0.8,0.31,571.05
0.74,0.8,0.31,630.95
0.72,0.93,0.38,984.43
0.74,0.87,0.46,964.39
0.72,0.93,0.38,964.39
0.74,0.87,0.38,974.58
0.77,0.82,0.38,988.35
0.77,0.76,0.31,994.34
0.77,0.76,0.38,1088.19
0.77,0.76,0.38,1076.21
0.77,0.76,0.46,804.66
0.74,0.75,0.38,732.85
0.74,0.75,0.46,686.86
0.74,0.75,0.46,838.6
0.74,0.75,0.38,882.71
0.74,0.75,0.38,471.62
0.74,0.75,0.31,451.3
0.74,0.75,0.31,381.36
0.74,0.8,0.31,407.32
0.74,0.8,0.31,373.38
0.74,0.8,0.38,376.62
0.74,0.8,0.31,792.84
0.77,0.76,0.38,892.51
0.79,0.7,0.38,960.4
0.79,0.7,0.46,1030.28
0.82,0.66,0.54,1022.36
0.85,0.61,0.38,1048.25
0.85,0.61,0.54,1026.29
0.85,0.61,0.54,1058.24
0.85,0.61,0.54,1038.27
0.85,0.61,0.46,1022.51
0.79,0.7,0.54,1020.3
0.79,0.7,0.46,1042.26
0.79,0.7,0.46,1042.26
0.79,0.7,0.46,1026.37
0.79,0.76,0.46,968.39
0.79,0.76,0.31,1022.3
0.77,0.82,0.38,952.41
0.77,0.82,0.38,894.51
0.77,0.82,0.46,505.24
0.77,0.82,0.46,481.2
0.77,0.82,0.38,453.24
0.77,0.82,0.38,461.29
0.77,0.82,0.38,461.23
0.77,0.82,0.38,742.76
0.77,0.82,0.38,972.38
0.77,0.76,0.38,1031.52
0.79,0.76,0.46,996.34
0.82,0.66,0.54,964.66
0.82,0.66,0.46,1010.32
0.85,0.56,0.46,1032.28
0.87,0.52,0.54,1014.14
0.87,0.48,0.54,1010.32
0.87,0.45,0.54,1012.31
0.87,0.41,0.54,956.6
0.87,0.45,0.46,914.48
0.82,0.56,0.54,966.39
0.79,0.66,0.38,1006.4
0.79,0.66,0.54,986.36
0.77,0.7,0.46,970.38
0.77,0.7,0.46,988.35
0.77,0.7,0.38,930.45
0.77,0.76,0.31,846.59
0.74,0.8,0.31,782.85
0.74,0.8,0.31,772.71
0.74,0.8,0.31,748.75
0.74,0.8,0.31,778.76
0.74,0.8,0.23,776.71
0.74,0.8,0.38,824.63
0.74,0.8,0.31,898.5
0.74,0.8,0.31,930.45
0.77,0.76,0.38,970.38
0.82,0.61,0.38,1010.53
0.85,0.52,0.38,1038.27
0.85,0.52,0.38,1090.26
0.9,0.48,0.31,1084.19
0.87,0.45,0.23,1069.77
0.92,0.38,0.23,1046.26
0.9,0.45,0.31,1014.31
0.87,0.48,0.38,1026.29
0.85,0.52,0.31,1098.26
0.82,0.56,0.31,1069.42
0.79,0.66,0.23,1058.24
0.72,0.87,0.38,1036.27
0.72,0.87,0.46,1008.32
0.72,0.87,0.38,1024.29
0.69,0.93,0.46,954.41
0.69,0.87,0.46,866.72
0.67,0.93,0.46,860.64
0.67,0.86,0.46,804.66
0.67,0.86,0.54,820.63
0.64,0.93,0.54,806.66
0.62,0.86,0.62,840.6
0.59,0.86,0.54,842.6
0.59,0.86,0.69,898.5
0.62,0.75,0.54,886.52
0.64,0.69,0.69,716.94
0.64,0.64,0.62,604.99
0.67,0.64,0.69,581.11
0.69,0.43,0.69,844.59
0.72,0.43,0.77,942.43
0.72,0.47,0.69,585.02
0.69,0.46,0.69,559.07
0.67,0.46,0.69,872.55
0.64,0.46,0.69,852.58
0.62,0.46,0.62,650.92
0.62,0.46,0.46,697.03
0.62,0.46,0.46,759.13
0.62,0.46,0.46,1024.29
0.59,0.54,0.46,884.53
0.59,0.49,0.46,792.68
0.59,0.49,0.38,509.15
0.59,0.54,0.38,513.48
0.56,0.54,0.38,393.34
0.56,0.59,0.38,373.38
0.56,0.59,0.31,403.33
0.54,0.59,0.31,505.16
0.54,0.59,0.31,876.54
0.56,0.59,0.23,874.54
0.62,0.46,0.38,896.51
0.64,0.43,0.38,856.74
0.67,0.46,0.38,878.54
0.69,0.39,0.38,866.63
0.72,0.43,0.31,862.56
0.69,0.39,0.46,710.82
0.72,0.32,0.46,573.04
0.69,0.36,0.46,780.7
0.67,0.39,0.38,940.43
0.67,0.36,0.38,980.37
0.67,0.32,0.31,988.55
0.64,0.43,0.38,994.34
0.64,0.43,0.31,988.44
0.59,0.49,0.23,970.38
0.59,0.49,0.15,862.56
0.59,0.54,0.15,529.12
0.56,0.59,0.15,525.12
0.56,0.63,0.15,469.22
0.54,0.69,0.15,441.26
0.54,0.69,0.15,459.97
0.54,0.69,0.08,449.25
0.56,0.63,0.08,495.17
0.54,0.69,0.08,868.55
0.59,0.69,0.15,812.39
0.64,0.51,0.08,830.62
0.69,0.39,0.31,854.73
0.72,0.3,0.38,878.54
0.74,0.26,0.31,890.59
0.72,0.3,0.31,696.84
0.72,0.3,0.31,884.53
0.72,0.36,0.31,577.04
0.72,0.36,0.46,794.68
0.72,0.36,0.31,916.47
0.69,0.36,0.46,866.56
0.67,0.39,0.38,840.76
0.67,0.43,0.38,575.04
0.67,0.39,0.38,565.13
0.67,0.43,0.23,577.04
0.67,0.46,0.31,561.06
0.64,0.54,0.23,776.71
0.64,0.59,0.23,620.97
0.64,0.64,0.23,431.28
0.64,0.64,0.23,425.29
0.64,0.69,0.15,425.35
0.64,0.69,0.15,441.32
0.67,0.6,0.23,555.07
0.67,0.64,0.15,874.54
0.67,0.64,0.15,838.6
0.69,0.64,0.15,567.05
0.72,0.64,0.23,554
0.69,0.64,0.31,545.16
0.72,0.55,0.23,944.62
0.72,0.55,0.23,902.5
0.72,0.51,0.31,868.55
0.67,0.6,0.38,878.48
0.67,0.64,0.31,882.53
0.67,0.69,0.31,902.5
0.64,0.75,0.31,1002.52
0.62,0.8,0.31,710.82
0.62,0.8,0.31,668.96
0.62,0.75,0.23,634.94
0.62,0.75,0.23,616.97
0.59,0.8,0.38,537.1
0.59,0.8,0.23,744.76
0.59,0.75,0.15,646.92
0.59,0.8,0.23,451.3
0.59,0.8,0.23,504.22
0.59,0.8,0.23,467.22
0.59,0.8,0.23,421.3
0.59,0.8,0.31,828.79
0.59,0.8,0.31,760.73
0.59,0.8,0.31,732.06
0.62,0.75,0.23,513.14
0.64,0.69,0.31,535.11
0.67,0.64,0.31,778.7
0.67,0.64,0.23,904.49
0.72,0.55,0.31,888.69
0.69,0.55,0.31,764.73
0.69,0.55,0.31,539.1
0.74,0.47,0.31,718.87
0.72,0.47,0.31,827.23
0.69,0.51,0.31,792.68
0.67,0.6,0.23,768.72
0.67,0.64,0.31,776.71
0.64,0.69,0.31,726.79
0.62,0.8,0.23,750.96
0.62,0.8,0.23,712.81
0.59,0.86,0.23,650.92
0.59,0.8,0.23,599
0.59,0.8,0.15,561.06
0.56,0.86,0.15,555.07
0.59,0.86,0.23,561.06
0.59,0.86,0.31,571.05
0.56,0.86,0.23,591.07
0.56,0.93,0.23,624.96
0.62,0.8,0.23,728.92
0.64,0.75,0.31,790.68
0.72,0.6,0.46,816.64
0.72,0.6,0.38,824.63
0.74,0.55,0.46,842.6
0.74,0.51,0.46,828.62
0.77,0.47,0.38,790.68
0.77,0.47,0.54,500.34
0.77,0.4,0.38,577.04
0.74,0.47,0.54,734.78
0.72,0.51,0.46,876.54
0.69,0.51,0.46,790.68
0.67,0.6,0.38,780.7
0.67,0.6,0.38,770.72
0.64,0.64,0.31,762.73
0.64,0.64,0.38,702.96
0.59,0.75,0.31,441.41
0.62,0.69,0.31,387.35
0.59,0.75,0.23,403.33
0.56,0.8,0.23,387.35
0.56,0.8,0.23,411.31
0.56,0.8,0.15,403.38
0.56,0.8,0.15,419.3
0.56,0.8,0.15,840.6
0.62,0.8,0.15,758.89
0.67,0.69,0.23,818.64
0.72,0.55,0.23,812.65
0.69,0.55,0.31,610.98
0.74,0.44,0.23,606.99
0.72,0.51,0.31,878.54
0.77,0.4,0.23,808.72
0.77,0.4,0.15,622.96
0.72,0.43,0.23,537.1
0.74,0.36,0.31,960.59
0.74,0.36,0.31,914.48
0.69,0.43,0.23,922.46
0.69,0.6,0.23,908.49
0.67,0.64,0.31,903.6
0.67,0.64,0.15,882.61
0.64,0.64,0.08,822.63
0.62,0.69,0.15,651.03
0.59,0.8,0.15,427.29
0.59,0.8,0.23,377.37
0.59,0.8,0.23,379.37
0.59,0.8,0.23,385.36
0.56,0.8,0.23,405.32
0.56,0.8,0.31,740.28
0.56,0.86,0.31,784.69
0.59,0.8,0.31,780.7
0.64,0.75,0.38,782.85
0.67,0.64,0.46,828.62
0.69,0.6,0.46,856.57
0.72,0.51,0.54,872.62
0.72,0.55,0.62,854.58
0.74,0.51,0.54,826.62
0.74,0.51,0.62,870.55
0.64,0.8,0.62,916.47
0.64,0.64,0.69,878.54
0.64,0.51,0.77,888.52
0.62,0.46,0.77,900.5
0.59,0.54,0.62,890.76
0.59,0.54,0.62,882.53
0.56,0.59,0.38,796.67
0.56,0.59,0.38,738.77
0.56,0.54,0.38,495.17
0.51,0.57,0.23,431.28
0.49,0.68,0.23,389.35
0.51,0.63,0.23,393.34
0.49,0.68,0.23,400.8
0.49,0.68,0.31,411.31
0.49,0.68,0.23,604.99
0.49,0.68,0.31,768.72
0.54,0.63,0.23,728.79
0.59,0.54,0.38,519.13
0.64,0.38,0.62,501.16
0.67,0.39,0.54,555.07
0.64,0.46,0.38,778.7
0.69,0.32,0.46,808.54
0.69,0.36,0.54,525.12
0.67,0.39,0.46,501.16
0.69,0.36,0.46,509.15
0.67,0.36,0.46,565.06
0.67,0.36,0.38,946.42
0.64,0.38,0.46,836.67
0.62,0.41,0.31,840.6
0.62,0.41,0.38,808.65
0.59,0.49,0.31,790.68
0.56,0.54,0.23,738.77
0.54,0.63,0.23,601.11
0.51,0.68,0.23,427.29
0.51,0.68,0.15,415.31
0.51,0.74,0.23,333.44
0.51,0.68,0.15,325.51
0.49,0.79,0.15,347.42
0.49,0.74,0,347.42
0.49,0.79,0.15,696.84
0.54,0.74,0.15,740.77
0.62,0.63,0.23,459.23
0.64,0.51,0.46,495.55
0.69,0.39,0.46,511.15
0.69,0.43,0.38,680.93
0.69,0.43,0.39,838.6
0.72,0.39,0.31,772.71
0.72,0.32,0.38,748.75
0.72,0.32,0.46,646.92
0.69,0.39,0.38,499.24
0.67,0.43,0.46,523.13
0.64,0.51,0.38,559.07
0.64,0.51,0.31,848.32
0.62,0.54,0.31,599
0.62,0.54,0.38,503.16
0.62,0.54,0.23,531.11
0.59,0.63,0.23,722.8
0.59,0.63,0.23,435.32
0.54,0.74,0.23,377.37
0.51,0.79,0.15,369.44
0.54,0.74,0.23,403.33
0.51,0.79,0.15,385.36
0.51,0.86,0.23,664.89
0.51,0.86,0.15,722.8
0.56,0.86,0.15,700.83
0.64,0.69,0.31,479.26
0.69,0.6,0.46,511.15
0.69,0.64,0.46,732.78
0.72,0.6,0.46,889.93
0.72,0.55,0.46,641.87
0.72,0.6,0.54,515.14
0.72,0.6,0.62,559.07
0.69,0.64,0.46,555.07
0.69,0.64,0.62,914.59
0.67,0.64,0.46,932.45
0.67,0.64,0.54,888.52
0.67,0.64,0.54,898.5
0.64,0.69,0.46,858.74
0.64,0.75,0.46,577.04
0.64,0.75,0.38,497.17
0.64,0.8,0.38,437.33
0.64,0.8,0.38,401.33
0.64,0.86,0.38,630.09
0.64,0.86,0.38,654.91
0.64,0.86,0.46,367.39
0.67,0.86,0.38,375.37
0.67,0.86,0.31,403.44
0.67,0.86,0.46,630.95
0.67,0.86,0.46,816.64
0.67,0.86,0.46,597
0.67,0.86,0.54,425.29
0.67,0.86,0.62,483.19
0.67,0.93,0.46,479.2
0.67,0.93,0.46,483.19
0.69,0.87,0.38,499.24
0.69,0.87,0.54,467.22
0.69,0.87,0.46,920.47
0.72,0.8,0.54,950.61
0.72,0.8,0.54,728.79
0.72,0.8,0.54,646.92
0.72,0.8,0.54,599
0.72,0.8,0.46,587.02
0.72,0.8,0.54,642.93
0.72,0.8,0.69,895.36
0.72,0.8,0.54,616.97
0.72,0.8,0.62,447.33
0.69,0.87,0.46,790.68
0.69,0.87,0.46,469.22
0.69,0.87,0.46,387.35
